sts,src,dest,seqn
866450316,4,5,27
867137441,2,10,27
889285319,3,7,28
889424542,7,7,28
894072217,8,1,28
894942489,9,2,28
895212013,1,1,28
895981171,2,6,28
896919047,4,7,28
897109741,6,10,28
897414646,10,1,28
898642689,5,6,28
916465566,2,2,29
916801884,9,8,29
916836523,10,3,29
919096436,7,7,29
923844133,6,6,29
925494113,8,5,29
928252083,5,8,29
928965940,4,7,29
929082127,3,5,29
929133909,1,3,29
947684673,4,1,30
952305274,10,7,30
954065169,7,5,30
954300876,3,1,30
954437863,6,4,30
956595815,5,2,30
957645615,9,6,30
957930768,1,9,30
958559297,2,8,30
960009718,8,1,30
976630011,9,10,31
977330211,5,10,31
979602659,1,1,31
980352238,10,1,31
984722839,3,9,31
984931611,8,3,31
985297258,6,4,31
989356568,4,9,31
989362107,7,9,31
990168693,2,10,31
1005947217,8,9,32
1008125711,1,2,32
1011723738,9,4,32
1012512421,2,8,32
1013806986,7,6,32
1014191570,3,9,32
1014922162,10,10,32
1015140991,6,4,32
1015325298,4,7,32
1018923940,5,2,32
1037110106,1,4,33
1037783335,5,10,33
1038238463,3,9,33
1039125387,6,10,33
1042246817,2,10,33
1045833132,9,8,33
1046369112,8,7,33
1047291382,7,2,33
1048156511,10,6,33
1048622192,4,3,33
1067176864,9,6,34
1070469460,1,2,34
1070840921,4,9,34
1070884718,8,7,34
1072219114,6,4,34
1078627065,5,2,34
1078840548,2,2,34
1079385111,7,8,34
1079750259,10,6,34
1080957195,3,9,34
1096203856,1,2,35
1096629088,3,9,35
1096699942,2,10,35
1101411260,9,4,35
1102994506,7,6,35
1106109633,10,2,35
1107611459,5,8,35
1109328509,6,6,35
1109762817,4,3,35
1109806610,8,3,35
1128597819,3,3,36
1131543671,2,8,36
1133705188,5,8,36
1134672240,6,4,36
1134953384,10,4,36
1135822216,8,9,36
1138004993,9,10,36
1139313211,1,6,36
1139338237,7,4,36
1141231547,4,9,36
1155528067,2,8,37
1157072630,7,8,37
1158906635,6,2,37
1159814586,5,2,37
1161778444,4,5,37
1163364385,9,4,37
1163437805,10,10,37
1163894714,3,5,37
1166797606,1,2,37
1167244113,8,5,37
1186497174,4,1,38
1189113444,3,1,38
1189158314,5,6,38
1191621797,2,6,38
1194500366,6,2,38
1196208116,9,6,38
1196531535,10,4,38
1197666362,7,6,38
1198656960,1,6,38
1198759720,8,7,38
1215731193,2,10,39
1216525756,7,2,39
1217859760,6,6,39
1218392708,5,2,39
1218681612,8,5,39
1219140884,10,6,39
1222669068,4,3,39
1222692508,9,8,39
1226891354,1,4,39
1229035339,3,9,39
1246484634,10,6,40
1247637796,4,5,40
1249369488,7,2,40
1250703490,6,2,40
1251786238,9,2,40
1253697215,8,1,40
1254500712,1,10,40
1256074921,2,8,40
1256986438,5,8,40
1258504070,3,5,40
1277434690,4,3,41
1278050962,3,3,41
1278395633,9,4,41
1278485107,1,10,41
1279309317,2,8,41
1279345835,5,10,41
1281219054,10,6,41
1283353880,7,6,41
1287187885,6,2,41
1288119110,8,9,41
1309447611,7,6,42
1310903046,2,8,42
1311653422,4,3,42
1312769693,3,1,42
1313634799,8,1,42
1314281614,6,4,42
1314812786,10,10,42
1315189564,5,8,42
1316739363,9,6,42
1317844460,1,4,42
1336262439,2,2,43
1336473757,9,3,43
1339673960,5,10,43
1342941586,3,9,43
1343075317,4,7,43
1343556612,8,1,43
1343556959,7,7,43
1345578853,1,2,43
1345672132,10,1,43
1347891008,6,6,43
1366106172,2,10,44
1367575670,9,3,44
1371234739,6,4,44
1372544046,4,1,44
1374910319,3,9,44
1376461523,10,1,44
1376572217,8,3,44
1377721346,7,3,44
1378688209,1,8,44
1379767691,5,10,44
1398377082,5,4,45
1398590565,2,6,45
1399172604,1,6,45
1400707214,3,5,45
1402969134,6,10,45
1403247562,9,1,45
1403269693,7,5,45
1405758484,10,9,45
1407590940,4,7,45
1408994110,8,3,45
1431562863,6,4,46
1431987043,7,1,46
1433684296,2,8,46
1434509716,8,3,46
1434720813,5,8,46
1436309672,4,7,46
1436925944,3,1,46
1438031960,1,10,46
1439216293,9,3,46
1440977216,10,3,46
1459347838,3,1,47
1462158935,7,9,47
1463422260,6,10,47
1464266355,1,10,47
1464981566,4,3,47
1465431611,8,5,47
1465455208,5,10,47
1465513189,9,5,47
1467293691,2,8,47
1467899023,10,7,47
1487816570,3,1,48
1489950297,4,5,48
1490265989,6,10,48
1490731920,9,5,48
1491048938,5,4,48
1494367771,10,3,48
1495875708,1,8,48
1496127668,7,1,48
1497637419,2,6,48
1500447216,8,7,48
1516250385,6,2,49
1516924474,7,3,49
1518653814,9,7,49
1519908332,5,6,49
1522371815,2,6,49
1525860105,1,2,49
1526914736,10,9,49
1527869110,8,3,49
1528247192,4,9,49
1528863462,3,7,49
1546633466,10,7,50
1553344118,6,10,50
1553582195,3,5,50
1554143224,7,7,50
1554219460,1,2,50
1555122544,9,9,50
1556752066,5,8,50
1557384718,8,5,50
1557965549,2,10,50
1559465924,4,3,50
1579805362,10,3,51
1579953854,1,4,51
1580387816,4,5,51
1581736459,5,8,51
1585453511,6,10,51
1585669441,9,7,51
1585824942,2,8,51
1587254087,3,3,51
1590306611,8,3,51
1590565188,7,1,51
1607388167,9,9,52
1608856549,4,5,52
1610830190,5,4,52
1612033915,7,7,52
1612797240,6,4,52
1613774091,10,3,52
1614322217,8,7,52
1616063209,1,8,52
1616222820,3,5,52
1616668671,2,6,52
1636653067,2,4,53
1636939584,5,8,53
1637403442,4,7,53
1637570985,10,9,53
1639560062,9,9,53
1640080807,7,5,53
1640547607,1,2,53
1641031634,6,2,53
1642519714,3,5,53
1646744113,8,9,53
1667259718,8,5,54
1668122174,4,3,54
