rts,src,dest,seqn,hops
776171141,1,8,24,4
777878420,7,5,24,1
778386319,9,1,24,3
795880430,2,5,25,1
796513181,9,1,25,3
801880473,8,5,25,4
803736405,7,7,25,0
805275663,6,3,25,3
806698339,4,10,25,3
807939111,1,2,25,1
808182141,10,9,25,1
809217983,5,7,25,1
809379523,3,5,25,3
827323217,1,6,26,1
827840641,6,7,26,1
828887553,2,1,26,1
830341670,5,7,26,1
833524875,7,3,26,2
833921572,4,8,26,6
834637602,3,1,26,3
834880423,10,5,26,2
856696861,7,6,27,1
858095284,10,4,27,4
858340261,8,7,27,3
859124886,9,9,27,0
860969617,6,4,27,1
864295321,1,8,27,4
864464398,4,7,27,2
864680919,3,9,27,1
869514190,2,1,27,1
869932696,5,9,27,4
887901275,9,3,28,1
891932181,3,9,28,1
895841731,5,7,28,1
895901731,4,3,28,4
895931997,8,9,28,1
896321488,1,10,28,2
897460346,10,10,28,0
897889431,2,1,28,1
898323181,7,6,28,1
899322815,6,10,28,2
919340964,5,7,29,1
919523894,8,3,29,1
924346126,3,4,29,5
924513262,4,1,29,2
925650698,7,3,29,2
926696776,1,6,29,1
926912996,2,2,29,0
928878642,6,5,29,2
930524837,10,3,29,1
930719180,9,4,29,5
946379926,8,5,30,4
948188457,7,2,30,1
949322381,3,6,30,3
949573466,2,10,30,3
949900113,6,3,30,3
950698243,1,10,30,2
950930912,5,9,30,4
952465093,10,7,30,1
955197844,9,6,30,3
956556257,4,9,30,5
976722141,1,1,31,0
977814074,6,2,31,1
978590887,9,7,31,2
980421181,4,8,31,6
980594292,10,4,31,4
982719290,5,4,31,3
983314435,7,2,31,1
985296461,2,8,31,5
985447250,8,10,31,2
986930881,3,9,31,1
1006555885,3,9,32,1
1010019000,1,1,32,0
1011795269,2,8,32,5
1012448424,8,10,32,2
1013948523,5,10,32,3
1014969219,7,4,32,3
1017006980,6,6,32,0
1017671762,9,9,32,0
1020448441,4,6,32,1
1021314686,10,2,32,2
1035634519,7,7,33,0
1036755737,2,5,33,1
1037254920,1,5,33,1
1042563977,8,2,33,4
1045056706,10,9,33,1
1046401060,9,3,33,2
1047171884,3,8,33,1
1047447923,4,6,33,1
1049151116,6,3,33,3
1050014860,5,1,33,1
1067340662,5,7,34,1
1067920268,3,8,34,1
1069878327,6,5,34,2
1070525375,1,3,34,3
1077697369,8,6,34,4
1077937388,9,9,34,0
1079254569,2,5,34,1
1079822915,4,6,34,1
1079923906,7,7,34,0
1080503645,10,5,34,2
1096512543,5,1,35,1
1097155745,6,6,35,0
1097419958,7,8,35,3
1098159643,1,1,35,0
1101630409,8,5,35,4
1103763243,2,1,35,1
1105947163,10,6,35,2
1106920440,4,8,35,6
1109754454,3,5,35,3
1110322294,9,6,35,3
1128056522,3,9,36,1
1131095978,6,4,36,1
1132072734,9,6,36,3
1135151664,5,3,36,4
1135698524,7,10,36,1
1136313803,10,2,36,2
1137307948,1,9,36,3
1137696668,4,10,36,3
1137713355,2,7,36,1
1138841153,8,7,36,3
1161795532,5,8,37,5
1162187693,9,2,37,3
1162323934,7,10,37,1
1163024870,6,3,37,3
1164389497,8,1,37,4
1165420991,4,8,37,6
1167359631,3,3,37,0
1168844615,2,4,37,3
1168948181,10,6,37,2
1169650752,1,3,37,3
1186720272,9,4,38,5
1188821580,1,10,38,2
1189094251,7,4,38,3
1190123856,4,4,38,0
1192198643,5,10,38,3
1192447914,10,6,38,2
1192762536,3,1,38,3
1193931257,6,9,38,4
1195650673,8,3,38,1
1196545467,2,8,38,5
1216638686,10,1,39,2
1219264049,5,1,39,1
1222682160,2,9,39,4
1222947212,3,10,39,1
1224733234,4,4,39,0
1225040767,7,7,39,0
1226174026,9,8,39,1
1226189001,6,2,39,1
1227219290,8,4,39,6
1228094290,1,4,39,2
1247344280,9,4,40,5
1248696791,3,6,40,3
1250764169,7,1,40,1
1253322178,6,10,40,2
1254216682,10,7,40,1
1255814871,1,2,40,1
1256197180,8,6,40,4
1256650553,2,3,40,4
1258546518,4,8,40,6
1260275598,5,5,40,0
1279447402,1,6,41,1
1283181311,2,9,41,4
1284172158,7,8,41,3
1284594990,9,4,41,5
1285072433,8,6,41,4
1285388804,6,1,41,1
1288763735,3,1,41,3
1291093488,10,10,41,0
1307888181,3,1,42,3
1308046622,9,8,42,1
1315795542,10,8,42,2
1316525985,6,3,42,3
1317319942,7,6,42,1
1318563867,8,2,42,4
1318716341,1,7,42,1
1318966242,2,7,42,1
1319379587,4,5,42,3
1320670352,5,8,42,5
1336095281,9,4,43,5
1337683162,5,9,43,4
1337936993,6,6,43,0
1339296460,4,8,43,6
1340680931,7,9,43,2
1343975973,10,10,43,0
1344469614,8,4,43,6
1347472139,1,1,43,0
1348877422,3,5,43,3
1349546623,2,8,43,5
1366920442,2,8,44,5
1371716646,3,7,44,2
1372447406,9,6,44,3
1374561569,6,2,44,1
1374764111,7,1,44,1
1375813485,10,2,44,2
1376697680,8,6,44,4
1379768997,1,1,44,0
1379921001,4,8,44,6
1380525750,5,3,44,4
1396188207,9,2,45,3
1398379180,4,5,45,3
1399344816,5,4,45,3
1399805784,6,9,45,4
1403198492,8,10,45,2
1403629923,3,5,45,3
1404629521,10,5,45,2
1406004851,1,5,45,1
1409755288,2,5,45,1
1410151105,7,3,45,2
1426014169,4,1,46,2
1428680938,10,9,46,1
1428716620,1,7,46,1
1428948609,9,6,46,3
1432197912,8,10,46,2
1433388247,2,1,46,1
1434128551,7,5,46,1
1436073994,5,10,46,3
1437216603,3,7,46,2
1440652003,6,3,46,3
1456545627,5,8,47,5
1460909641,1,1,47,0
1462432825,4,9,47,5
1463197706,7,10,47,1
1463589908,8,7,47,3
1463820585,3,10,47,1
1464470979,9,4,47,5
1469296831,2,8,47,5
