sts,src,dest,seqn
720321000.0,6,2,22
720388000.0,4,6,22
736358000.0,9,10,23
738626000.0,3,9,23
739011000.0,8,3,23
742278000.0,7,5,23
742909000.0,10,5,23
743211000.0,1,1,23
746825000.0,5,7,23
747369000.0,2,9,23
747373000.0,4,6,23
749556000.0,6,2,23
765730000.0,8,5,24
766698000.0,2,6,24
766790999.9999999,3,9,24
768996000.0,7,7,24
771150000.0,6,2,24
771451000.0,9,4,24
775258000.0,1,1,24
776466000.0,4,8,24
776573000.0,10,1,24
779294000.0,5,1,24
799215000.0,7,5,25
804902000.0,8,5,25
805561000.0,9,8,25
806509000.0,6,8,25
807120000.0,10,3,25
807338000.0,3,3,25
807575000.0,4,4,25
809180000.0,1,3,25
809341000.0,5,2,25
809557000.0,2,8,25
826904000.0,9,6,26
828411000.0,5,10,26
828919000.0,4,8,26
832353000.0,6,6,26
834056000.0,3,3,26
836870000.0,8,1,26
837977000.0,1,9,26
838934000.0,7,5,26
840401000.0,2,4,26
840847000.0,10,3,26
858386000.0,2,8,27
859649000.0,1,1,27
860154000.0,4,2,27
860228000.0,3,1,27
861106000.0,7,8,27
861139000.0,9,3,27
862010000.0,10,5,27
863645000.0,5,2,27
863667000.0,8,9,27
863868000.0,6,4,27
885931000.0,6,4,28
889886000.0,8,3,28
891196000.0,1,1,28
892479000.0,2,2,28
894748000.0,4,4,28
895723000.0,7,2,28
898240000.0,5,2,28
898491000.0,9,9,28
899197000.0,3,3,28
900448000.0,10,9,28
915588000.0,2,1,29
916617000.0,1,1,29
922308000.0,8,1,29
922598000.0,5,8,29
924540000.0,6,7,29
926994000.0,3,5,29
928107000.0,4,8,29
928957000.0,7,10,29
929995000.0,10,7,29
930662000.0,9,3,29
946950000.0,4,10,30
947885000.0,10,9,30
948213000.0,3,9,30
949914000.0,1,1,30
950442000.0,5,8,30
950455000.0,6,9,30
951050000.0,8,4,30
951428000.0,9,5,30
952552000.0,7,6,30
959253000.0,2,3,30
976535000.0,8,6,31
977086000.0,1,5,31
980932000.0,10,1,31
985935000.0,5,7,31
987635000.0,3,1,31
988728000.0,6,6,31
988799000.0,2,8,31
988910000.0,7,9,31
989100000.0,9,3,31
990436000.0,4,8,31
1006098000.0,7,10,32
1007108000.0,9,4,32
1010133000.0,1,3,32
1010870000.0,10,5,32
1011854000.0,2,6,32
1012150000.0,3,9,32
1012153000.0,5,5,32
1014071000.0,6,4,32
1014628000.0,8,6,32
1019528000.0,4,8,32
1035963000.0,2,5,33
1037237000.0000001,8,4,33
1037291999.9999999,10,1,33
1038055000.0000001,1,1,33
1038137999.9999999,4,2,33
1038306000.0,6,2,33
1039332000.0000001,7,2,33
1045071999.9999999,3,5,33
1046467000.0000001,9,2,33
1047575000.0,5,9,33
1066540999.9999999,3,5,34
1070580999.9999999,8,4,34
1071796000.0,9,8,34
1072926999.9999999,7,6,34
1073807000.0,10,7,34
1073900000.0,6,2,34
1074674000.0,2,3,34
1076852000.0,1,9,34
1079044000.0,5,9,34
1080482000.0,4,2,34
1097306000.0,6,2,35
1097654000.0,9,1,35
1098285000.0,7,6,35
1104216000.0,4,8,35
1105315000.0,8,6,35
1107088000.0,3,10,35
1107091000.0,5,1,35
1108524000.0,1,3,35
1109096000.0,2,5,35
1110729000.0,10,1,35
1126565000.0,2,1,36
1127908000.0,3,10,36
1130071000.0,1,7,36
1131810000.0,5,5,36
1132842000.0,9,6,36
1133129000.0,7,6,36
1136588000.0,6,6,36
1137910000.0,8,2,36
1139811000.0,4,2,36
1140198000.0,10,5,36
1155669000.0,4,2,37
1156576000.0,9,2,37
1160612000.0,2,6,37
1160642000.0,3,8,37
1161614000.0,7,6,37
1162482000.0,5,1,37
1163769000.0,8,6,37
1168446000.0,6,4,37
1169492000.0,1,7,37
1169745000.0,10,1,37
1186237000.0,3,8,38
1187747000.0,5,7,38
1188789000.0,1,5,38
1190029000.0,9,4,38
1191513000.0,4,4,38
1192275000.0,6,6,38
1192612000.0,8,10,38
1193682000.0,2,6,38
1195464000.0,10,5,38
1195707000.0,7,6,38
1216919000.0,5,4,39
1217635000.0,10,3,39
1217961000.0,1,5,39
1218095000.0,3,6,39
1220634000.0,6,5,39
1221598000.0,8,7,39
1223916000.0,2,7,39
1225316000.0,7,2,39
1229264000.0,9,10,39
1230498000.0,4,6,39
1247008000.0,1,3,40
1247591000.0,4,2,40
1250536000.0,5,8,40
1250574000.0,8,7,40
1252173000.0,6,5,40
1253858000.0,9,4,40
1257604000.0,10,8,40
1258660000.0,7,4,40
1258939000.0,3,6,40
1260268000.0,2,1,40
1276924000.0,3,6,41
1278930000.0,1,5,41
1279700000.0,4,8,41
1281217000.0,9,6,41
1283394000.0,7,4,41
1286752000.0,10,10,41
1286970000.0,6,9,41
1287440000.0,2,1,41
1289495000.0,8,3,41
1289770000.0,5,8,41
1305848000.0,7,2,42
1308017000.0,3,6,42
1311727000.0,1,9,42
1312365000.0,5,10,42
1315611000.0,6,5,42
1316060000.0,9,2,42
1318964000.0,8,3,42
1319044000.0,4,8,42
1320409000.0,2,3,42
1320596000.0,10,2,42
1339582000.0,10,2,43
1339723000.0,5,4,43
1340082000.0,7,1,43
1345279000.0,4,4,43
1345511000.0,8,5,43
1347908000.0,6,3,43
1348399000.0,1,7,43
1348546000.0,9,2,43
1350126000.0,3,1,43
1350206000.0,2,8,43
1367567000.0,5,10,44
1369639000.0,9,8,44
1371230000.0,8,9,44
1371606000.0,7,7,44
1373873000.0,4,6,44
1373946000.0,1,3,44
1374126000.0,6,3,44
1379291000.0,3,9,44
1380315000.0,2,9,44
1380783000.0,10,8,44
1396362000.0,2,9,45
1397052000.0,5,6,45
1399232000.0,4,2,45
1399653000.0,7,9,45
1401048000.0,6,3,45
1402292000.0,10,10,45
1405838000.0,3,3,45
1406402000.0,8,6,45
1407248000.0,9,7,45
1407367000.0,1,1,45
1427517000.0,6,7,46
1427971000.0,10,2,46
1428075000.0,4,10,46
1429043000.0,7,1,46
