rts,src,dest,seqn,hops
743507309,7,2,23,1
744008836,5,6,23,2
744356672,3,9,23,1
745930423,2,5,23,1
750491748,10,5,23,2
767820313,3,3,24,0
768779620,1,10,24,2
769112328,9,9,24,0
772220389,6,3,24,4
775408555,10,3,24,1
777955671,2,7,24,1
778232733,8,4,24,6
778882975,5,6,24,2
779237263,7,8,24,3
780507719,4,6,24,1
796794171,3,9,25,1
797845835,9,3,25,1
799731646,10,9,25,1
802694709,7,6,25,1
803818488,5,2,25,1
804731937,8,9,25,1
805845024,6,3,25,4
806485715,1,8,25,4
807445545,4,6,25,1
809201016,2,1,25,1
827624647,3,3,26,0
828113090,5,8,26,5
830597083,8,3,26,1
830992863,10,5,26,2
832545403,2,9,26,4
833847327,6,3,26,4
836862999,4,8,26,6
836992611,9,5,26,3
838319996,1,2,26,1
839055175,7,5,26,1
857695281,1,6,27,1
858170403,6,9,27,4
858324855,2,1,27,1
859824008,3,1,27,3
861699581,10,1,27,2
862987415,9,9,27,0
864037892,7,7,27,0
866006531,5,2,27,1
867621897,4,4,27,0
868700444,8,1,27,4
888466541,5,10,28,3
889299920,4,8,28,6
890475371,7,7,28,0
890930156,10,5,28,2
894549898,1,8,28,4
896366688,8,5,28,4
896828627,9,7,28,2
897295601,6,9,28,4
898617185,3,3,28,0
899971047,2,3,28,4
917318788,10,6,29,2
920317910,4,2,29,2
922772265,7,7,29,0
922795835,9,4,29,5
923862684,5,8,29,5
924047093,6,4,29,1
926781004,1,10,29,2
926928487,3,5,29,4
928908286,8,3,29,1
929421016,2,4,29,3
947670316,3,9,30,1
948943884,6,2,30,1
950870939,10,10,30,0
952159288,7,3,30,3
954487331,5,8,30,5
954794671,4,4,30,0
954861293,2,8,30,5
955507340,9,6,30,3
957007609,1,6,30,1
957169179,8,9,30,1
976912894,7,7,31,0
979569855,6,2,31,1
979903960,1,10,31,2
980381546,5,2,31,1
982006821,9,6,31,3
982347447,2,2,31,0
987632608,3,6,31,3
988953666,8,7,31,3
990055705,10,5,31,2
1006783289,8,3,32,1
1007279077,4,10,32,4
1007864139,6,6,32,0
1009655289,2,10,32,3
1009758837,5,6,32,2
1014366642,7,5,32,1
1017949074,9,1,32,3
1019299407,1,8,32,4
1019824582,10,1,32,2
1036294441,8,9,33,1
1037344109,3,10,33,1
1038693025,1,2,33,1
1038942855,5,2,33,1
1040678978,6,5,33,2
1041647267,7,7,33,0
1042971792,9,9,33,0
1046179490,10,5,33,2
1047045664,2,9,33,4
1050798918,4,8,33,6
1067582246,10,10,34,0
1067735145,1,4,34,2
1069982214,7,9,34,2
1070142411,3,7,34,2
1073170290,9,4,34,5
1073929283,2,5,34,1
1074970662,6,3,34,4
1076830061,8,7,34,3
1077798256,5,8,34,5
1079985655,4,8,34,6
1096485532,10,8,35,2
1097117865,2,5,35,1
1098319126,4,2,35,2
1099891497,5,7,35,1
1101068008,1,2,35,1
1101328873,8,7,35,3
1103303551,3,5,35,3
1104672052,9,4,35,5
1105825807,7,1,35,1
1110429260,6,5,35,2
1126170991,9,4,36,5
1126754189,1,2,36,1
1127595027,6,3,36,4
1131346165,7,3,36,2
1132949716,5,1,36,1
1134095743,10,3,36,1
1137283587,2,3,36,4
1138508397,3,6,36,3
1140632159,4,2,36,2
1141005837,8,2,36,4
1156194520,8,2,37,4
1156490768,3,5,37,3
1161908226,5,3,37,4
1162444584,9,2,37,3
1163803429,7,7,37,0
1164610704,4,8,37,6
1165742258,6,5,37,2
1166606671,10,9,37,1
1169880471,1,6,37,1
1170888468,2,1,37,1
1186330317,10,7,38,1
1187574644,7,1,38,1
1188257110,9,6,38,3
1192865991,6,5,38,2
1194429047,3,5,38,3
1197382452,1,2,38,1
1197903751,5,5,38,0
1197955165,2,7,38,1
1198818337,8,2,38,4
1199944739,4,2,38,2
1215819553,4,2,39,2
1217219963,2,3,39,4
1217386387,3,1,39,3
1219533112,10,3,39,1
1221612368,5,8,39,5
1221741411,7,5,39,1
1228171414,9,4,39,5
1228470636,6,3,39,4
1229205169,1,7,39,1
1230196012,8,6,39,4
1245883102,3,6,40,3
1247267712,10,7,40,1
1251343971,7,10,40,1
1251559380,4,4,40,0
1253980982,6,9,40,4
1256109528,5,4,40,3
1259380723,8,2,40,4
1260015932,1,7,40,1
1260342706,9,10,40,1
1260982084,2,9,40,4
1276233627,5,4,41,3
1279305573,1,5,41,1
1279390308,8,8,41,0
1279737980,3,8,41,1
1283545800,9,4,41,5
1285392609,2,7,41,1
1286265937,6,7,41,1
1287970608,10,3,41,1
1306043331,8,9,42,1
1308491748,1,5,42,1
1311177329,9,5,42,3
1311672070,4,8,42,6
1311736356,5,8,42,5
1314891782,10,7,42,1
1315907951,6,3,42,4
1318699164,7,1,42,1
1319365943,2,5,42,1
1336425545,3,8,43,1
1337594927,1,3,43,3
1337919323,2,9,43,4
1338346088,10,3,43,1
1340334765,7,7,43,0
1343548990,4,8,43,6
1343717210,9,10,43,1
1344138366,8,1,43,4
1344971018,6,3,43,4
1349986429,5,8,43,5
1366888888,2,1,44,1
1368141047,6,7,44,1
1369429859,1,5,44,1
1370381317,3,6,44,3
1370793309,10,9,44,1
1371013489,7,1,44,1
1372404024,5,10,44,3
1373908809,8,3,44,1
1375381498,4,6,44,1
1377049485,9,8,44,1
1397918339,6,9,45,4
1399733989,5,4,45,3
1400803387,2,5,45,1
1402418390,1,9,45,3
1402570186,9,2,45,3
1404319524,7,2,45,1
1406007715,4,6,45,1
1406972303,8,3,45,1
1409783661,10,3,45,1
1410670317,3,4,45,5
1427655913,5,10,46,3
1429194440,9,6,46,3
1429382303,4,2,46,2
1431595447,6,3,46,4
1432343716,3,10,46,1
1434909445,8,3,46,1
1438367670,10,5,46,2
1438953409,1,7,46,1
1439218668,7,10,46,1
1440982704,2,9,46,4
1457108228,5,9,47,4
1461137089,7,1,47,1
1462467357,9,10,47,1
1463170276,6,9,47,4
1463928550,3,5,47,3
1464596978,1,3,47,3
1465892683,8,7,47,3
1467232910,10,9,47,1
1468277957,4,10,47,4
1469262355,2,1,47,1
1489381975,9,2,48,3
1490471609,7,3,48,2
1490533518,5,3,48,4
1491045437,3,9,48,1
